nhm_id,time,min,max,mean,median,sum,area
84687,2016-07-01,63.0,145.0,108.157,111.0,41965.0,71.188
84687,2016-08-01,76.0,131.0,109.106,110.0,42333.0,71.188
84687,2016-09-01,30.0,105.0,70.941,78.5,27525.0,71.188
84687,2016-10-01,32.0,92.0,57.691,61.0,22384.0,71.188
84687,2016-11-01,10.0,37.0,20.098,20.0,7798.0,71.188
84687,2016-12-01,2.0,24.0,11.631,13.0,4513.0,71.188
84689,2016-01-01,2.0,15.0,3.56,3.0,612.471,31.741
84689,2016-02-01,8.0,24.0,16.425,17.0,2825.565,31.741
84689,2016-03-01,16.0,55.0,29.306,27.0,5041.565,31.741
84689,2016-04-01,20.0,78.0,54.046,54.0,9297.627,31.741
84689,2016-05-01,52.0,102.0,74.057,75.0,12740.165,31.741
84689,2016-06-01,88.0,164.0,130.256,128.0,22408.075,31.741
84689,2016-07-01,51.0,154.0,103.699,101.0,17839.447,31.741
84689,2016-08-01,67.0,131.0,106.749,107.0,18364.102,31.741
84689,2016-09-01,40.0,91.0,68.803,68.0,11836.255,31.741
84689,2016-10-01,27.0,62.0,46.246,44.0,7955.847,31.741
84689,2016-11-01,10.0,28.0,18.603,19.0,3200.314,31.741
84689,2016-12-01,5.0,19.0,11.25,11.0,1935.408,31.741
84690,2016-01-01,3.0,14.0,7.086,6.0,11491.573,299.982
84690,2016-02-01,5.0,28.0,13.021,12.088,21117.698,299.982
84690,2016-03-01,17.0,52.0,28.45,28.0,46140.678,299.982
84690,2016-04-01,15.0,88.0,41.41,40.0,67158.698,299.982
84690,2016-05-01,24.0,113.0,78.734,82.0,127689.408,299.982
84690,2016-06-01,36.0,163.0,121.976,128.0,197819.878,299.982
84690,2016-07-01,30.0,163.0,116.907,123.0,189598.761,299.982
84690,2016-08-01,49.0,133.0,108.166,112.0,175422.757,299.982
84690,2016-09-01,18.0,110.0,74.128,77.0,120220.608,299.982
84690,2016-10-01,24.0,83.0,56.747,60.0,92032.29,299.982
84690,2016-11-01,5.0,31.0,19.527,21.0,31668.835,299.982
84690,2016-12-01,2.0,19.0,10.323,10.0,16742.459,299.982
84694,2016-01-01,12.0,15.0,12.932,13.0,1150.529,16.329
84694,2016-02-01,17.0,26.0,21.889,23.0,1947.435,16.329
84694,2016-03-01,16.0,38.0,27.453,28.0,2442.435,16.329
84694,2016-04-01,20.0,45.0,32.634,33.0,2903.373,16.329
84694,2016-05-01,58.0,72.0,64.302,64.0,5720.835,16.329
84694,2016-06-01,92.0,116.0,101.81,101.0,9057.925,16.329
84694,2016-07-01,67.0,110.0,85.362,85.0,7594.553,16.329
84694,2016-08-01,57.0,84.0,69.518,69.0,6184.898,16.329
84694,2016-09-01,24.0,46.0,34.425,35.0,3062.745,16.329
84694,2016-10-01,23.0,39.0,29.203,28.0,2598.153,16.329
84694,2016-11-01,8.0,21.0,13.372,13.0,1189.686,16.329
84694,2016-12-01,1.0,17.0,10.134,9.0,901.592,16.329
84695,2016-01-01,11.0,13.0,11.899,12.0,523.886,9.357
84695,2016-02-01,17.0,22.0,18.504,18.0,814.671,9.357
84695,2016-03-01,29.0,46.0,38.595,38.0,1699.224,9.357
84695,2016-04-01,26.0,62.0,44.428,46.0,1956.059,9.357
84695,2016-05-01,37.0,82.0,69.992,72.0,3081.561,9.357
84695,2016-06-01,78.0,137.0,122.016,125.0,5372.075,9.357
84695,2016-07-01,48.0,112.0,69.873,68.0,3076.31,9.357
84695,2016-08-01,55.0,101.0,71.324,68.0,3140.2,9.357
84695,2016-09-01,22.0,52.0,31.384,30.0,1381.757,9.357
84695,2016-10-01,19.0,34.0,27.427,27.0,1207.561,9.357
84695,2016-11-01,14.0,20.0,15.977,16.0,703.412,9.357
84695,2016-12-01,5.0,18.0,13.796,16.0,607.404,9.357
84697,2016-01-01,7.0,15.0,8.7,8.0,435.0,9.174
84697,2016-02-01,15.0,25.0,16.1,16.0,805.0,9.174
84697,2016-03-01,28.0,45.0,34.46,34.0,1723.0,9.174
84697,2016-04-01,24.0,55.0,40.58,43.0,2029.0,9.174
84697,2016-05-01,52.0,74.0,62.82,62.0,3141.0,9.174
84697,2016-06-01,103.0,131.0,120.48,123.5,6024.0,9.174
84697,2016-07-01,106.0,148.0,134.44,139.0,6722.0,9.174
84697,2016-08-01,83.0,119.0,105.96,108.0,5298.0,9.174
84697,2016-09-01,49.0,66.0,56.72,56.5,2836.0,9.174
84697,2016-10-01,29.0,52.0,42.64,45.0,2132.0,9.174
84697,2016-11-01,10.0,18.0,13.44,13.0,672.0,9.174
84697,2016-12-01,3.0,13.0,4.92,5.0,246.0,9.174
84698,2016-01-01,0.0,14.0,2.817,2.0,300.369,22.567
84698,2016-02-01,0.0,9.0,2.88,3.0,307.055,22.567
84698,2016-03-01,0.0,51.0,16.528,13.0,1762.271,22.567
84698,2016-04-01,16.0,69.0,32.567,33.0,3472.42,22.567
84698,2016-05-01,38.0,80.0,61.87,63.0,6596.831,22.567
84698,2016-06-01,66.0,130.0,107.453,109.0,11456.984,22.567
84698,2016-07-01,60.0,143.0,123.89,126.0,13209.608,22.567
84698,2016-08-01,39.0,99.0,75.485,79.0,8048.522,22.567
84698,2016-09-01,20.0,68.0,41.959,47.0,4473.804,22.567
84698,2016-10-01,25.0,67.0,42.002,43.0,4478.431,22.567
84698,2016-11-01,12.0,27.0,19.445,20.0,2073.306,22.567
84698,2016-12-01,2.0,13.0,7.478,7.0,797.349,22.567
84699,2016-01-01,2.0,10.0,6.407,7.0,23829.071,686.198
84699,2016-02-01,7.0,20.0,15.495,16.0,57629.086,686.198
84699,2016-03-01,14.0,57.0,35.115,36.0,130595.898,686.198
84699,2016-04-01,19.0,83.0,47.586,47.0,176977.78,686.198
84699,2016-05-01,27.0,111.0,61.875,61.567,230120.875,686.198
84699,2016-06-01,38.0,183.0,123.422,126.449,459025.373,686.198
84699,2016-07-01,30.0,196.0,123.05,128.0,457640.392,686.198
84699,2016-08-01,41.0,148.0,86.587,85.0,322030.129,686.198
84699,2016-09-01,18.0,125.0,41.729,37.0,155196.345,686.198
84699,2016-10-01,23.0,87.0,46.246,46.0,171994.145,686.198
84699,2016-11-01,8.0,33.0,20.419,21.0,75942.525,686.198
84699,2016-12-01,2.0,23.0,12.832,13.0,47724.114,686.198
84700,2016-01-01,2.0,11.0,6.288,7.0,3062.922,89.903
84700,2016-02-01,7.0,21.0,14.389,15.0,7008.761,89.903
84700,2016-03-01,14.0,59.0,34.747,36.0,16924.973,89.903
84700,2016-04-01,18.0,77.0,45.688,45.0,22254.18,89.903
84700,2016-05-01,34.0,98.0,61.899,60.0,30150.533,89.903
84700,2016-06-01,70.0,179.0,116.887,122.0,56935.176,89.903
84700,2016-07-01,91.0,193.0,142.839,147.0,69576.184,89.903
84700,2016-08-01,91.0,145.0,112.733,113.0,54911.82,89.903
84700,2016-09-01,45.0,112.0,73.118,74.0,35615.18,89.903
84700,2016-10-01,44.0,82.0,62.039,62.0,30218.78,89.903
84700,2016-11-01,20.0,33.0,24.634,25.0,11999.008,89.903
84700,2016-12-01,5.0,25.0,13.551,13.0,6600.545,89.903
84701,2016-01-01,3.0,15.0,7.124,7.0,13748.945,364.199
84701,2016-02-01,7.0,26.0,13.874,14.612,26775.98,364.199
84701,2016-03-01,9.0,47.0,22.313,21.396,43063.459,364.199
84701,2016-04-01,15.0,51.0,29.065,29.213,56093.259,364.199
84701,2016-05-01,35.0,108.0,75.994,76.0,146662.945,364.199
84701,2016-06-01,73.0,167.0,142.718,147.0,275435.369,364.199
84701,2016-07-01,75.0,176.0,151.983,155.478,293317.314,364.199
84701,2016-08-01,73.0,138.0,112.457,113.0,217033.498,364.199
84701,2016-09-01,40.0,112.0,84.331,86.0,162752.722,364.199
84701,2016-10-01,29.0,80.0,60.733,62.0,117209.659,364.199
84701,2016-11-01,8.0,31.0,20.233,21.0,39048.173,364.199
84701,2016-12-01,2.0,21.0,10.383,10.0,20037.886,364.199
84702,2016-01-01,4.0,9.0,5.688,5.0,425.059,14.128
84702,2016-02-01,8.0,12.0,9.78,10.0,730.804,14.128
84702,2016-03-01,4.0,6.0,4.99,5.0,372.847,14.128
84702,2016-04-01,28.0,41.0,36.114,37.0,2698.643,14.128
84702,2016-05-01,64.0,90.0,83.966,85.0,6274.396,14.128
84702,2016-06-01,95.0,139.0,127.945,133.0,9560.722,14.128
84702,2016-07-01,85.0,136.0,124.336,132.0,9291.078,14.128
84702,2016-08-01,43.0,59.0,52.096,52.0,3892.902,14.128
84702,2016-09-01,26.0,38.0,32.642,32.0,2439.157,14.128
84702,2016-10-01,37.0,51.0,42.963,42.0,3210.443,14.128
84702,2016-11-01,11.0,27.0,19.01,19.0,1420.529,14.128
